,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,0.3391770889410761,0.0,0.0,0.0,0.0,1.0
always_1,0.6608229110589239,0.0,0.7957776914789667,0.6608229110589239,1.0,0.0
CNN_20_HRV,0.7549783752434898,0.40639312682606876,0.8288990509122213,0.7695783691183959,0.8981286526692772,0.4760769218972841
CNN_50_HRV,0.7794560912114805,0.46556028649968284,0.8460267485901249,0.7853288074346987,0.9168932879434857,0.5116855035347881
CNN_100_HRV,0.7883400561229399,0.4919638349103047,0.8509479436801313,0.7958065145977276,0.9142997697711486,0.5429311904798417
LSTM_20_HRV,0.7752949835246142,0.46748667511097486,0.8398871823761379,0.7936449566956296,0.8918514728743187,0.5482065359076201
LSTM_50_HRV,0.7842049553591166,0.49605046845621226,0.8440816571961156,0.8076783383258834,0.8839213679922864,0.5899262371758499
LSTM_100_HRV,0.7936740760390416,0.5176408845927487,0.8510786869921217,0.81359910420764,0.8921781223558118,0.6017574261221611
SGD_hinge,0.6971935929344392,0.17074096657289017,0.8083580910370255,0.6947349063543258,0.9664141364450304,0.1726678832676471
SGD_log,0.7004808680070634,0.24570003078234082,0.7977308850777592,0.7203146309746582,0.8937916920836695,0.3238510021622782
SGD_perceptron,0.4975150385032496,0.038930625211911596,0.5389263282487925,0.6845465071868957,0.4443928451956945,0.6010136637580702
Random_forest_300,0.7010764265447462,0.2660460459874111,0.7937171121113576,0.7295521954727961,0.8702571872724768,0.3714594611173304
stages,1.0,1.0,1.0,1.0,1.0,1.0
