,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,19.3 +- 1.3,0.0 +- 0.0,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_1,80.9 +- 1.2,0.0 +- 0.0,88.9 +- 0.8,80.9 +- 1.2,100.0 +- 0.0,0.0 +- 0.0
CNN_20_HR,77.7 +- 1.6,29.7 +- 1.9,84.2 +- 1.7,86.0 +- 1.3,86.7 +- 2.1,44.6 +- 2.8
CNN_50_HR,79.1 +- 1.4,31.2 +- 1.8,85.8 +- 1.3,86.3 +- 1.2,88.5 +- 1.7,44.0 +- 2.7
CNN_100_HR,80.0 +- 1.3,31.1 +- 1.9,86.7 +- 1.1,86.1 +- 1.2,89.8 +- 1.5,42.1 +- 2.5
LSTM_20_HR,81.3 +- 1.0,35.0 +- 1.7,87.9 +- 0.8,87.0 +- 1.2,90.3 +- 0.9,47.8 +- 2.4
LSTM_50_HR,83.6 +- 1.1,41.9 +- 2.2,89.0 +- 0.9,89.4 +- 0.9,89.6 +- 1.2,53.4 +- 2.4
LSTM_100_HR,81.6 +- 1.1,31.4 +- 2.0,88.2 +- 0.9,86.6 +- 1.1,91.5 +- 1.1,40.7 +- 2.6
SGD_hinge,80.9 +- 1.2,0.0 +- 0.0,88.9 +- 0.8,80.9 +- 1.2,100.0 +- 0.0,0.0 +- 0.0
SGD_log,77.8 +- 1.8,12.5 +- 1.8,84.8 +- 1.8,82.2 +- 1.4,92.3 +- 2.2,18.3 +- 2.7
SGD_perceptron,43.0 +- 2.9,-8.3 +- 1.2,44.5 +- 3.7,57.9 +- 3.2,43.0 +- 4.1,39.8 +- 3.8
Random_forest_300,61.8 +- 0.9,3.5 +- 0.5,73.1 +- 1.0,82.0 +- 1.2,67.4 +- 1.2,37.7 +- 1.4
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
