,accuracy,f1-score,precision,recall,specificity
always_0_0,33.5 +- 1.4,48.8 +- 1.5,33.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
always_0_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,66.5 +- 1.4,79.1 +- 1.1,66.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
CNN_20_HR_0,32.8 +- 1.6,47.5 +- 1.8,72.9 +- 2.2,44.1 +- 2.6,86.6 +- 2.1
CNN_20_HR_1,66.2 +- 1.8,78.1 +- 1.6,75.2 +- 1.5,86.6 +- 2.1,44.1 +- 2.6
CNN_50_HR_0,35.3 +- 1.5,50.6 +- 1.7,75.1 +- 2.2,45.6 +- 2.3,88.4 +- 1.8
CNN_50_HR_1,68.2 +- 1.7,79.9 +- 1.4,75.9 +- 1.5,88.4 +- 1.8,45.6 +- 2.3
CNN_100_HR_0,39.0 +- 1.5,54.5 +- 1.6,76.5 +- 2.0,48.9 +- 2.2,89.7 +- 1.5
CNN_100_HR_1,70.1 +- 1.6,81.4 +- 1.2,77.1 +- 1.5,89.7 +- 1.5,48.9 +- 2.2
LSTM_20_HR_0,39.3 +- 1.3,55.2 +- 1.4,73.1 +- 1.7,49.1 +- 1.9,90.2 +- 0.9
LSTM_20_HR_1,70.8 +- 1.3,82.2 +- 1.0,77.1 +- 1.4,90.2 +- 0.9,49.1 +- 1.9
LSTM_50_HR_0,60.2 +- 1.7,73.8 +- 1.4,79.6 +- 1.7,72.0 +- 1.7,89.5 +- 1.2
LSTM_50_HR_1,78.2 +- 1.4,87.0 +- 1.0,86.0 +- 1.2,89.5 +- 1.2,72.0 +- 1.7
LSTM_100_HR_0,47.4 +- 1.7,62.6 +- 1.7,79.6 +- 1.8,56.9 +- 2.1,91.4 +- 1.1
LSTM_100_HR_1,74.2 +- 1.4,84.5 +- 1.0,80.4 +- 1.4,91.4 +- 1.1,56.9 +- 2.1
SGD_hinge_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_hinge_1,66.5 +- 1.4,79.1 +- 1.1,66.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
SGD_log_0,18.0 +- 1.8,27.4 +- 2.3,81.0 +- 3.2,23.5 +- 2.7,92.3 +- 2.2
SGD_log_1,65.6 +- 1.9,77.4 +- 1.8,70.5 +- 1.6,92.3 +- 2.2,23.5 +- 2.7
SGD_perceptron_0,13.7 +- 1.4,21.8 +- 2.0,22.2 +- 2.2,35.0 +- 3.4,42.8 +- 4.1
SGD_perceptron_1,29.9 +- 2.9,39.4 +- 3.3,41.9 +- 3.0,42.8 +- 4.1,35.0 +- 3.4
Random_forest_300_0,23.4 +- 0.8,37.3 +- 1.0,38.3 +- 1.4,40.5 +- 1.3,67.3 +- 1.2
Random_forest_300_1,51.2 +- 1.1,67.0 +- 1.0,69.1 +- 1.4,67.3 +- 1.2,40.5 +- 1.3
stages_0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
