,Sleep,Wake
always_0,-365.1 +- 8.7,365.1 +- 8.7
always_1,187.4 +- 8.6,-187.4 +- 8.6
CNN_20_ENMO_HRV,46.8 +- 7.1,-46.8 +- 7.1
CNN_50_ENMO_HRV,39.0 +- 7.2,-39.0 +- 7.2
CNN_100_ENMO_HRV,36.2 +- 7.3,-36.2 +- 7.3
LSTM_20_ENMO_HRV,18.8 +- 7.0,-18.8 +- 7.0
LSTM_50_ENMO_HRV,14.8 +- 6.7,-14.8 +- 6.7
LSTM_100_ENMO_HRV,36.0 +- 6.7,-36.0 +- 6.7
SGD_hinge,49.0 +- 7.6,-49.0 +- 7.6
SGD_log,37.3 +- 7.9,-37.3 +- 7.9
SGD_perceptron,13.8 +- 8.2,-13.8 +- 8.2
Random_forest_300,32.9 +- 7.3,-32.9 +- 7.3
stages,365.1 +- 8.7,187.4 +- 8.6
