,Sleep,Wake
always_0,-365.1 +- 8.7,365.1 +- 8.7
always_1,187.4 +- 8.6,-187.4 +- 8.6
CNN_20_HRV,61.0 +- 9.8,-61.0 +- 9.8
CNN_50_HRV,61.2 +- 9.2,-61.2 +- 9.2
CNN_100_HRV,54.4 +- 9.2,-54.4 +- 9.2
LSTM_20_HRV,45.2 +- 8.4,-45.2 +- 8.4
LSTM_50_HRV,34.5 +- 8.9,-34.5 +- 8.9
LSTM_100_HRV,35.3 +- 8.7,-35.3 +- 8.7
SGD_hinge,142.8 +- 10.1,-142.8 +- 10.1
SGD_log,87.9 +- 12.9,-87.9 +- 12.9
SGD_perceptron,-128.1 +- 15.3,128.1 +- 15.3
Random_forest_300,70.4 +- 12.5,-70.4 +- 12.5
stages,365.1 +- 8.7,187.4 +- 8.6
