,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,33.5 +- 1.4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1,66.5 +- 1.4,0.0 +- 0.0,79.1 +- 1.1,66.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
CNN_20_HR,71.7 +- 1.3,31.9 +- 1.9,78.1 +- 1.6,75.2 +- 1.5,86.6 +- 2.1,44.1 +- 2.6
CNN_50_HR,73.3 +- 1.3,35.6 +- 1.9,79.9 +- 1.4,75.9 +- 1.5,88.4 +- 1.8,45.6 +- 2.3
CNN_100_HR,75.1 +- 1.2,40.1 +- 1.9,81.4 +- 1.2,77.1 +- 1.5,89.7 +- 1.5,48.9 +- 2.2
LSTM_20_HR,75.7 +- 1.0,40.4 +- 1.6,82.2 +- 1.0,77.1 +- 1.4,90.2 +- 0.9,49.1 +- 1.9
LSTM_50_HR,83.9 +- 1.0,61.7 +- 2.0,87.0 +- 1.0,86.0 +- 1.2,89.5 +- 1.2,72.0 +- 1.7
LSTM_100_HR,79.3 +- 1.1,49.6 +- 2.0,84.5 +- 1.0,80.4 +- 1.4,91.4 +- 1.1,56.9 +- 2.1
SGD_hinge,66.5 +- 1.4,0.0 +- 0.0,79.1 +- 1.1,66.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
SGD_log,68.8 +- 1.5,17.8 +- 2.0,77.4 +- 1.8,70.5 +- 1.6,92.3 +- 2.2,23.5 +- 2.7
SGD_perceptron,40.7 +- 2.1,-17.1 +- 2.1,39.4 +- 3.3,41.9 +- 3.0,42.8 +- 4.1,35.0 +- 3.4
Random_forest_300,58.3 +- 0.6,7.2 +- 0.6,67.0 +- 1.0,69.1 +- 1.4,67.3 +- 1.2,40.5 +- 1.3
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
