,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,33.5 +- 1.4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1,66.5 +- 1.4,0.0 +- 0.0,79.1 +- 1.1,66.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
CNN_20_HRV,75.7 +- 1.2,41.0 +- 2.0,81.7 +- 1.2,77.4 +- 1.5,89.4 +- 1.4,50.3 +- 2.2
CNN_50_HRV,78.2 +- 1.2,47.1 +- 2.1,83.5 +- 1.2,78.9 +- 1.5,91.3 +- 1.3,54.0 +- 2.1
CNN_100_HRV,79.1 +- 1.2,49.8 +- 2.1,83.9 +- 1.3,79.9 +- 1.5,91.0 +- 1.4,57.0 +- 2.1
LSTM_20_HRV,77.7 +- 1.1,46.7 +- 1.9,83.0 +- 1.2,79.5 +- 1.4,88.9 +- 1.2,57.0 +- 1.8
LSTM_50_HRV,78.6 +- 1.2,49.5 +- 2.1,83.4 +- 1.2,81.2 +- 1.4,88.2 +- 1.3,61.1 +- 2.0
LSTM_100_HRV,79.5 +- 1.2,51.5 +- 2.2,84.1 +- 1.1,81.8 +- 1.4,88.9 +- 1.3,62.2 +- 2.1
SGD_hinge,70.1 +- 1.3,17.6 +- 1.5,80.1 +- 1.1,70.1 +- 1.4,96.5 +- 1.0,18.6 +- 1.9
SGD_log,70.3 +- 1.3,25.5 +- 1.9,78.1 +- 1.5,73.0 +- 1.5,89.1 +- 2.0,34.7 +- 2.6
SGD_perceptron,49.5 +- 1.5,4.8 +- 1.6,49.1 +- 2.3,65.8 +- 1.7,44.2 +- 2.8,59.7 +- 2.1
Random_forest_300,70.3 +- 1.2,27.1 +- 1.7,77.6 +- 1.5,73.6 +- 1.4,86.7 +- 1.9,39.2 +- 2.3
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
