,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,0.3391770889410761,0.0,0.0,0.0,0.0,1.0
always_1,0.6608229110589239,0.0,0.7957776914789667,0.6608229110589239,1.0,0.0
CNN_20_ENMO_HRV,0.8302528132989002,0.5968276038588184,0.879299057988971,0.8293501428506643,0.935650052145851,0.6249060712478339
CNN_50_ENMO_HRV,0.8411783216692283,0.6267893927464301,0.8859263244213567,0.8431548931207601,0.9332690529132804,0.661756812709902
CNN_100_ENMO_HRV,0.8423382304369423,0.6309600496400529,0.8863364925799889,0.8464012031798324,0.9302268836458805,0.6711036820070849
LSTM_20_ENMO_HRV,0.8307547469136284,0.6129793792252222,0.8751647314517661,0.8536907577617436,0.8977469056848817,0.7002330966584367
LSTM_50_ENMO_HRV,0.8384605982112439,0.6325875368103737,0.880198890594743,0.8630763935381136,0.8980145221275507,0.7224309527825914
LSTM_100_ENMO_HRV,0.8424032477445496,0.6311779522377944,0.8863639773170512,0.8465588944331212,0.9300970109604676,0.6715484058948918
SGD_hinge,0.8163573143170713,0.5625070676471384,0.8697833010310305,0.8183483819028518,0.9281174363919007,0.5986136882945605
SGD_log,0.8193689160054406,0.5765588741196027,0.8699644089470029,0.8296813175825275,0.9143588028099726,0.6342989464644451
SGD_perceptron,0.7849201457427968,0.511460579866788,0.8402774156541689,0.8249988622745408,0.8561325488498396,0.6461761413301845
Random_forest_300,0.82170173700239,0.5845149700669359,0.8709059069425876,0.834934560880946,0.9101162950864834,0.6494425616095938
stages,1.0,1.0,1.0,1.0,1.0,1.0
