,accuracy,f1-score,precision,recall,specificity
always_0_0,19.1 +- 1.2,30.5 +- 1.6,19.1 +- 1.2,99.7 +- 0.6,0.3 +- 0.6
always_0_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_0_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,66.1 +- 1.1,79.1 +- 0.8,66.1 +- 1.1,100.0 +- 0.0,0.0 +- 0.0
always_1_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_2_2,14.9 +- 0.6,25.4 +- 0.9,14.8 +- 0.6,98.6 +- 1.2,0.3 +- 0.6
CNN_20_ENMO_0,29.5 +- 1.9,42.5 +- 2.3,55.6 +- 2.9,40.7 +- 2.5,90.9 +- 1.2
CNN_20_ENMO_1,65.2 +- 1.1,78.4 +- 0.9,70.4 +- 0.9,90.0 +- 1.3,24.8 +- 1.9
CNN_20_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
CNN_50_ENMO_0,29.2 +- 2.1,41.6 +- 2.5,54.7 +- 3.0,40.1 +- 2.7,91.0 +- 1.2
CNN_50_ENMO_1,65.3 +- 1.2,78.4 +- 0.9,70.6 +- 0.9,90.0 +- 1.3,24.7 +- 2.1
CNN_50_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
CNN_100_ENMO_0,28.5 +- 2.1,40.6 +- 2.5,55.1 +- 3.0,38.8 +- 2.8,91.3 +- 1.2
CNN_100_ENMO_1,65.4 +- 1.2,78.5 +- 1.0,70.5 +- 0.9,90.3 +- 1.4,24.0 +- 2.1
CNN_100_ENMO_2,0.0 +- 0.0,0.1 +- 0.1,0.4 +- 0.6,0.0 +- 0.0,100.0 +- 0.0
LSTM_20_ENMO_0,31.7 +- 1.9,45.2 +- 2.2,52.4 +- 2.7,46.8 +- 2.5,88.6 +- 1.2
LSTM_20_ENMO_1,64.4 +- 1.1,77.8 +- 0.9,71.0 +- 0.9,87.5 +- 1.3,28.6 +- 2.0
LSTM_20_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_50_ENMO_0,31.6 +- 2.0,44.7 +- 2.4,52.9 +- 2.8,45.8 +- 2.7,89.1 +- 1.3
LSTM_50_ENMO_1,64.7 +- 1.2,77.9 +- 0.9,71.1 +- 0.9,88.0 +- 1.4,28.1 +- 2.1
LSTM_50_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_100_ENMO_0,31.6 +- 2.1,44.6 +- 2.4,53.2 +- 2.8,45.5 +- 2.8,89.1 +- 1.3
LSTM_100_ENMO_1,64.5 +- 1.2,77.8 +- 1.0,71.1 +- 0.9,87.7 +- 1.5,28.2 +- 2.2
LSTM_100_ENMO_2,0.3 +- 0.2,0.5 +- 0.3,6.9 +- 2.5,0.3 +- 0.2,99.9 +- 0.0
SGD_hinge_0,29.3 +- 1.9,42.2 +- 2.3,58.2 +- 3.0,38.8 +- 2.5,92.4 +- 1.1
SGD_hinge_1,65.8 +- 1.1,78.8 +- 0.9,70.2 +- 0.9,91.4 +- 1.2,23.0 +- 1.9
SGD_hinge_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_log_0,31.7 +- 1.9,45.0 +- 2.3,55.1 +- 2.8,45.1 +- 2.6,89.9 +- 1.2
SGD_log_1,64.9 +- 1.2,78.1 +- 0.9,70.8 +- 0.9,88.8 +- 1.3,27.0 +- 2.0
SGD_log_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_perceptron_0,23.4 +- 1.7,35.2 +- 2.2,61.5 +- 3.1,28.4 +- 2.1,95.2 +- 0.7
SGD_perceptron_1,53.0 +- 1.5,68.1 +- 1.4,70.9 +- 1.0,68.3 +- 1.9,45.0 +- 2.0
SGD_perceptron_2,10.2 +- 0.7,17.8 +- 1.2,15.2 +- 1.1,27.7 +- 2.1,73.2 +- 1.4
Random_forest_300_0,30.8 +- 1.8,44.4 +- 2.1,48.7 +- 2.5,47.3 +- 2.4,87.7 +- 1.2
Random_forest_300_1,63.0 +- 1.1,76.8 +- 0.9,71.0 +- 0.9,85.1 +- 1.3,30.7 +- 1.9
Random_forest_300_2,1.9 +- 0.3,3.6 +- 0.5,20.0 +- 2.6,2.1 +- 0.3,98.6 +- 0.1
stages_0,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
stages_2,100.0 +- 0.0,98.6 +- 1.2,98.6 +- 1.2,98.6 +- 1.2,100.0 +- 0.0
