,accuracy,f1-score,precision,recall,specificity
always_0_0,19.1 +- 1.2,30.5 +- 1.6,19.1 +- 1.2,99.7 +- 0.6,0.3 +- 0.6
always_0_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_0_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,66.1 +- 1.1,79.1 +- 0.8,66.1 +- 1.1,100.0 +- 0.0,0.0 +- 0.0
always_1_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_2_2,14.9 +- 0.6,25.4 +- 0.9,14.8 +- 0.6,98.6 +- 1.2,0.3 +- 0.6
CNN_20_ENMO_HRV_0,38.0 +- 1.7,52.9 +- 1.9,65.6 +- 2.4,50.6 +- 2.2,92.6 +- 1.0
CNN_20_ENMO_HRV_1,69.2 +- 1.3,81.1 +- 1.0,79.6 +- 1.1,84.9 +- 1.4,57.2 +- 2.1
CNN_20_ENMO_HRV_2,32.6 +- 2.0,45.7 +- 2.4,54.7 +- 2.7,48.1 +- 3.0,92.2 +- 0.9
CNN_50_ENMO_HRV_0,41.8 +- 1.9,56.6 +- 1.9,64.1 +- 2.4,58.2 +- 2.4,90.7 +- 1.3
CNN_50_ENMO_HRV_1,68.9 +- 1.5,80.6 +- 1.2,83.0 +- 1.1,81.1 +- 1.7,66.6 +- 2.2
CNN_50_ENMO_HRV_2,36.8 +- 2.2,50.0 +- 2.5,55.5 +- 2.7,56.6 +- 3.3,90.7 +- 1.1
CNN_100_ENMO_HRV_0,40.0 +- 1.9,54.7 +- 2.0,67.3 +- 2.4,53.3 +- 2.5,92.4 +- 1.1
CNN_100_ENMO_HRV_1,70.8 +- 1.3,82.2 +- 1.0,81.5 +- 1.1,84.8 +- 1.4,62.2 +- 2.1
CNN_100_ENMO_HRV_2,38.0 +- 2.2,51.4 +- 2.5,56.6 +- 2.7,54.9 +- 3.1,92.4 +- 0.8
