,Non-REM sleep,REM sleep,Wake
always_0,-296.2 +- 7.3,-67.4 +- 3.0,363.5 +- 8.9
always_1,156.3 +- 6.6,-67.4 +- 3.0,-88.9 +- 6.6
always_2,-296.2 +- 7.3,385.1 +- 8.9,-88.9 +- 6.6
CNN_20_ENMO,84.6 +- 6.8,-67.3 +- 3.0,-17.3 +- 6.0
CNN_50_ENMO,84.7 +- 7.0,-67.3 +- 3.0,-17.4 +- 6.2
CNN_100_ENMO,86.7 +- 7.1,-67.3 +- 3.0,-19.4 +- 6.3
LSTM_20_ENMO,71.1 +- 6.8,-67.4 +- 3.0,-3.7 +- 6.0
LSTM_50_ENMO,72.5 +- 6.9,-67.3 +- 3.0,-5.1 +- 6.1
LSTM_100_ENMO,71.2 +- 7.0,-66.8 +- 3.0,-4.4 +- 6.3
SGD_hinge,91.7 +- 6.7,-67.4 +- 3.0,-24.3 +- 6.1
SGD_log,77.4 +- 7.0,-67.4 +- 3.0,-10.0 +- 6.3
SGD_perceptron,-10.5 +- 8.5,54.6 +- 7.3,-44.1 +- 5.5
Random_forest_300,60.9 +- 6.5,-60.8 +- 2.9,-0.1 +- 5.8
stages,296.7 +- 7.1,67.4 +- 3.0,88.9 +- 6.6
