,Non-REM sleep,REM sleep,Wake
always_0,-296.2 +- 7.3,-67.4 +- 3.0,363.5 +- 8.9
always_1,156.3 +- 6.6,-67.4 +- 3.0,-88.9 +- 6.6
always_2,-296.2 +- 7.3,385.1 +- 8.9,-88.9 +- 6.6
CNN_20_ENMO_HRV,23.0 +- 7.1,-4.4 +- 5.2,-18.7 +- 5.4
CNN_50_ENMO_HRV,-2.9 +- 7.5,7.5 +- 5.8,-4.7 +- 5.7
CNN_100_ENMO_HRV,14.9 +- 6.7,-0.5 +- 4.3,-14.4 +- 5.8
LSTM_20_ENMO_HRV,10.8 +- 6.2,-14.8 +- 3.9,4.1 +- 5.6
LSTM_50_ENMO_HRV,12.2 +- 6.2,-12.5 +- 3.7,0.3 +- 5.6
LSTM_100_ENMO_HRV,16.7 +- 6.3,-24.4 +- 3.2,7.7 +- 5.8
SGD_hinge,82.5 +- 7.1,-67.4 +- 3.0,-15.1 +- 6.4
SGD_log,68.9 +- 7.6,-67.3 +- 3.0,-1.6 +- 7.0
SGD_perceptron,63.0 +- 7.0,-47.8 +- 3.3,-15.2 +- 6.1
Random_forest_300,63.7 +- 6.8,-63.5 +- 2.9,-0.2 +- 6.2
stages,296.7 +- 7.1,67.4 +- 3.0,88.9 +- 6.6
