,Non-REM sleep,REM sleep,Wake
always_0,-296.2 +- 7.3,-67.4 +- 3.0,363.5 +- 8.9
always_1,156.3 +- 6.6,-67.4 +- 3.0,-88.9 +- 6.6
always_2,-296.2 +- 7.3,385.1 +- 8.9,-88.9 +- 6.6
CNN_20_HRV,10.2 +- 8.2,-18.8 +- 5.0,8.6 +- 7.9
CNN_50_HRV,17.5 +- 7.9,-12.0 +- 5.5,-5.5 +- 7.3
CNN_100_HRV,-9.3 +- 7.8,-2.5 +- 4.7,11.7 +- 7.7
LSTM_20_HRV,10.4 +- 6.7,-24.3 +- 3.9,13.9 +- 7.1
LSTM_50_HRV,13.4 +- 6.8,-19.1 +- 4.1,5.7 +- 6.9
LSTM_100_HRV,18.4 +- 6.9,-11.8 +- 4.0,-6.6 +- 7.0
SGD_hinge,100.3 +- 10.0,-67.4 +- 3.0,-32.9 +- 10.0
SGD_log,67.8 +- 11.6,-67.4 +- 3.0,-0.4 +- 11.6
SGD_perceptron,-71.2 +- 14.5,95.5 +- 14.3,-24.4 +- 7.5
Random_forest_300,43.4 +- 11.1,-65.3 +- 3.0,21.9 +- 11.1
stages,296.7 +- 7.1,67.4 +- 3.0,88.9 +- 6.6
