,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,19.3 +- 1.3,0.0 +- 0.0,10.5 +- 0.7,6.7 +- 0.7,33.7 +- 0.4,66.3 +- 0.4
always_1,66.1 +- 1.1,0.0 +- 0.0,26.7 +- 0.5,22.4 +- 0.6,33.7 +- 0.4,66.3 +- 0.4
always_2,15.1 +- 0.8,0.0 +- 0.0,8.7 +- 0.6,5.2 +- 0.6,33.1 +- 0.5,66.5 +- 0.4
CNN_20_ENMO_HRV,73.1 +- 1.1,43.0 +- 1.9,60.1 +- 1.2,66.8 +- 1.3,61.4 +- 1.2,80.5 +- 0.8
CNN_50_ENMO_HRV,73.6 +- 1.2,47.0 +- 2.1,62.6 +- 1.4,67.7 +- 1.3,65.5 +- 1.3,82.5 +- 0.8
CNN_100_ENMO_HRV,74.9 +- 1.1,47.0 +- 2.0,62.9 +- 1.3,68.7 +- 1.3,64.5 +- 1.3,82.1 +- 0.8
LSTM_20_ENMO_HRV,73.4 +- 1.0,43.1 +- 2.0,60.7 +- 1.2,65.7 +- 1.3,62.6 +- 1.2,81.4 +- 0.7
LSTM_50_ENMO_HRV,74.2 +- 1.1,45.1 +- 2.1,61.5 +- 1.3,66.5 +- 1.4,62.8 +- 1.2,81.7 +- 0.8
LSTM_100_ENMO_HRV,73.4 +- 1.0,42.4 +- 2.1,59.4 +- 1.3,65.5 +- 1.4,60.4 +- 1.2,80.6 +- 0.8
SGD_hinge,68.9 +- 1.0,27.9 +- 1.8,42.3 +- 0.9,44.0 +- 1.1,45.7 +- 0.9,72.2 +- 0.7
SGD_log,68.5 +- 1.0,29.2 +- 1.7,43.2 +- 0.9,43.8 +- 1.0,47.4 +- 0.9,73.1 +- 0.7
SGD_perceptron,65.9 +- 1.0,19.5 +- 1.4,41.7 +- 0.8,44.8 +- 0.9,44.1 +- 0.8,72.1 +- 0.6
Random_forest_300,68.7 +- 1.0,30.2 +- 1.7,44.6 +- 0.9,54.1 +- 1.6,48.3 +- 0.8,73.6 +- 0.7
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
