,Non-REM sleep,REM sleep,Wake
always_0,-297.5 +- 7.1,-67.6 +- 3.0,365.1 +- 8.7
always_1,255.0 +- 8.1,-67.6 +- 3.0,-187.4 +- 8.6
always_2,-297.5 +- 7.1,484.8 +- 8.5,-187.4 +- 8.6
CNN_20_ENMO,107.8 +- 7.8,-67.6 +- 3.0,-40.2 +- 7.5
CNN_50_ENMO,103.1 +- 8.0,-67.6 +- 3.0,-35.5 +- 7.6
CNN_100_ENMO,102.5 +- 7.9,-67.6 +- 3.0,-34.9 +- 7.5
LSTM_20_ENMO,91.1 +- 7.7,-67.6 +- 3.0,-23.5 +- 7.4
LSTM_50_ENMO,87.9 +- 7.8,-67.6 +- 3.0,-20.3 +- 7.4
LSTM_100_ENMO,83.8 +- 7.7,-67.0 +- 3.0,-16.8 +- 7.3
SGD_hinge,116.8 +- 7.8,-67.6 +- 3.0,-49.2 +- 7.6
SGD_log,98.9 +- 8.0,-67.6 +- 3.0,-31.3 +- 7.7
SGD_perceptron,6.1 +- 9.4,73.3 +- 7.6,-79.4 +- 7.1
Random_forest_300,81.2 +- 7.4,-60.7 +- 2.9,-20.5 +- 7.2
stages,297.5 +- 7.1,67.6 +- 3.0,187.4 +- 8.6
