,Non-REM sleep,REM sleep,Wake
always_0,-297.5 +- 7.1,-67.6 +- 3.0,365.1 +- 8.7
always_1,255.0 +- 8.1,-67.6 +- 3.0,-187.4 +- 8.6
always_2,-297.5 +- 7.1,484.8 +- 8.5,-187.4 +- 8.6
CNN_20_ENMO_HRV,43.7 +- 8.3,-1.3 +- 5.4,-42.5 +- 7.0
CNN_50_ENMO_HRV,10.2 +- 8.4,10.8 +- 6.0,-21.0 +- 7.1
CNN_100_ENMO_HRV,30.2 +- 7.7,2.5 +- 4.5,-32.7 +- 7.2
LSTM_20_ENMO_HRV,25.6 +- 7.2,-12.9 +- 4.1,-12.7 +- 6.9
LSTM_50_ENMO_HRV,23.9 +- 7.1,-10.7 +- 3.8,-13.2 +- 6.8
LSTM_100_ENMO_HRV,26.5 +- 7.0,-23.3 +- 3.4,-3.2 +- 6.8
SGD_hinge,105.3 +- 8.1,-67.6 +- 3.0,-37.7 +- 7.8
SGD_log,89.4 +- 8.6,-67.6 +- 3.0,-21.8 +- 8.3
SGD_perceptron,85.2 +- 8.0,-36.8 +- 3.8,-48.4 +- 7.7
Random_forest_300,83.5 +- 7.8,-63.6 +- 2.9,-20.0 +- 7.6
stages,297.5 +- 7.1,67.6 +- 3.0,187.4 +- 8.6
