,Non-REM sleep,REM sleep,Wake
always_0,-297.5 +- 7.1,-67.6 +- 3.0,365.1 +- 8.7
always_1,255.0 +- 8.1,-67.6 +- 3.0,-187.4 +- 8.6
always_2,-297.5 +- 7.1,484.8 +- 8.5,-187.4 +- 8.6
CNN_20_HRV,41.9 +- 9.9,-14.4 +- 5.3,-27.5 +- 9.9
CNN_50_HRV,46.0 +- 9.5,-7.9 +- 5.8,-38.2 +- 9.2
CNN_100_HRV,10.6 +- 9.1,2.3 +- 5.0,-12.9 +- 9.4
LSTM_20_HRV,36.9 +- 8.0,-20.4 +- 4.1,-16.4 +- 8.6
LSTM_50_HRV,34.1 +- 8.3,-16.2 +- 4.3,-17.9 +- 8.5
LSTM_100_HRV,36.4 +- 8.1,-8.6 +- 4.2,-27.8 +- 8.5
SGD_hinge,166.7 +- 12.3,-67.6 +- 3.0,-99.0 +- 12.6
SGD_log,123.2 +- 13.9,-67.6 +- 3.0,-55.5 +- 14.2
SGD_perceptron,-36.9 +- 16.7,137.3 +- 16.1,-100.4 +- 9.6
Random_forest_300,92.0 +- 13.2,-65.3 +- 3.0,-26.8 +- 13.5
stages,297.5 +- 7.1,67.6 +- 3.0,187.4 +- 8.6
