,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,0.3391770889410761,0.0,0.1266363842922644,0.08479427223526903,0.25,0.75
always_1,0.46729239323507915,0.0,0.15923628970937248,0.11682309830876979,0.25,0.75
always_2,0.07113153521467415,0.0,0.03320392168288561,0.017782883803668537,0.25,0.75
always_3,0.12239898260917056,0.0,0.05452561188385851,0.03059974565229264,0.25,0.75
CNN_20_ENMO_HRV,0.6707627570459256,0.5027084489639677,0.4894764384534561,0.5881957541232612,0.4982794033985303,0.8620734460061102
CNN_50_ENMO_HRV,0.6817818903392083,0.534179422884788,0.5129817992123012,0.6103271277246332,0.5312710898182945,0.8719593459059078
CNN_100_ENMO_HRV,0.6910767646347458,0.543844881681478,0.5364430271970168,0.6324100518004384,0.5363172937487214,0.8730277976940719
LSTM_20_ENMO_HRV,0.68449181172028,0.5236225928930967,0.5094142030889885,0.629240091168801,0.512368278723015,0.8679676732373902
LSTM_50_ENMO_HRV,0.7040932296177242,0.5676537005213727,0.5403817189270252,0.6548746912056582,0.5399023347716992,0.8769803431159306
LSTM_100_ENMO_HRV,0.7035574870030402,0.5444904988367153,0.5424897955623614,0.660375824711447,0.5212732691538253,0.8723844068147788
SGD_hinge,0.6335806591714714,0.34179632471891386,0.351551454135715,0.3387010532073103,0.38350888093560853,0.8337477477916172
SGD_log,0.6349668281696588,0.3420328579539643,0.35287342230862645,0.39700434809925944,0.38527627662938924,0.8348700076055133
SGD_perceptron,0.5052130877239521,-0.0020631899035403745,0.31430612380858325,0.37033239042549615,0.3138668706679489,0.8089316415904914
Random_forest_300,0.6359342857068552,0.35972559780744184,0.37276259290821684,0.5155981171865884,0.39538148919189353,0.8375769071274147
stages,1.0,1.0,1.0,1.0,1.0,1.0
