,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,0.3391770889410761,0.0,0.1266363842922644,0.08479427223526903,0.25,0.75
always_1,0.46729239323507915,0.0,0.15923628970937248,0.11682309830876979,0.25,0.75
always_2,0.07113153521467415,0.0,0.03320392168288561,0.017782883803668537,0.25,0.75
always_3,0.12239898260917056,0.0,0.05452561188385851,0.03059974565229264,0.25,0.75
CNN_20_ENMO,0.6259346237968547,0.3289971940662837,0.34601655173855733,0.35942718838497345,0.3769031884077264,0.8296194138628175
CNN_50_ENMO,0.6341606135553284,0.3467492318155807,0.3527834379034015,0.38378820568023697,0.385869559221041,0.8350419746083041
CNN_100_ENMO,0.6395414459329073,0.3507894867784169,0.35596403304756213,0.42547175525601355,0.3882574853698136,0.83668515718234
LSTM_20_ENMO,0.6269514944878326,0.3293873349687091,0.3463791119355061,0.3564493230774621,0.37689247107469154,0.8296749262698864
LSTM_50_ENMO,0.6360981293220255,0.34555246586704114,0.3532085692071637,0.36294861874976503,0.38440369259661267,0.8343562261497227
LSTM_100_ENMO,0.6408625976234874,0.35132133689697786,0.3561191443412322,0.3441643031480224,0.3879912105078135,0.8366509379332847
SGD_hinge,0.6274404246410394,0.33384009812116777,0.34706503039207964,0.46477389778166056,0.3779201008636363,0.8302075707816214
SGD_log,0.6291880898695232,0.3366714647877883,0.3487934864632572,0.3707315610294485,0.3802533231905535,0.8316316986103556
SGD_perceptron,0.4132213995365566,0.11430178961230941,0.3252515366800901,0.3751922846357591,0.31471277276884785,0.7988831135341804
Random_forest_300,0.6146008067347528,0.3317998189932865,0.35774671110766443,0.41117078714748717,0.38070633151319716,0.829700382005945
stages,1.0,1.0,1.0,1.0,1.0,1.0
