,Deep sleep,Light sleep,REM sleep,Wake
always_0,-39.2 +- 3.6,-257.0 +- 7.1,-67.4 +- 3.0,363.5 +- 8.9
always_1,-39.2 +- 3.6,195.5 +- 7.4,-67.4 +- 3.0,-88.9 +- 6.6
always_2,413.3 +- 9.9,-257.0 +- 7.1,-67.4 +- 3.0,-88.9 +- 6.6
always_3,-39.2 +- 3.6,-257.0 +- 7.1,385.1 +- 8.9,-88.9 +- 6.6
CNN_20_ENMO,-39.2 +- 3.6,124.6 +- 7.6,-67.3 +- 3.0,-18.2 +- 6.0
CNN_50_ENMO,-39.2 +- 3.6,109.9 +- 8.1,-67.3 +- 3.0,-3.5 +- 6.5
CNN_100_ENMO,-39.2 +- 3.6,118.2 +- 8.1,-67.2 +- 3.0,-11.8 +- 6.4
LSTM_20_ENMO,-39.2 +- 3.6,128.1 +- 7.3,-67.3 +- 3.0,-21.6 +- 5.5
LSTM_50_ENMO,-39.2 +- 3.6,124.6 +- 7.5,-67.2 +- 3.0,-18.2 +- 5.7
LSTM_100_ENMO,-39.2 +- 3.6,124.1 +- 7.9,-67.4 +- 3.0,-17.6 +- 6.2
SGD_hinge,-39.2 +- 3.6,124.7 +- 7.7,-67.3 +- 3.0,-18.2 +- 6.2
SGD_log,-39.1 +- 3.6,119.1 +- 7.8,-67.4 +- 3.0,-12.7 +- 6.3
SGD_perceptron,45.7 +- 5.1,-42.5 +- 8.1,36.2 +- 4.1,-39.4 +- 5.6
Random_forest_300,-37.1 +- 3.5,92.5 +- 7.3,-59.5 +- 2.9,4.1 +- 5.9
stages,39.2 +- 3.6,257.5 +- 7.0,67.4 +- 3.0,88.9 +- 6.6
