,Deep sleep,Light sleep,REM sleep,Wake
always_0,-39.2 +- 3.6,-257.0 +- 7.1,-67.4 +- 3.0,363.5 +- 8.9
always_1,-39.2 +- 3.6,195.5 +- 7.4,-67.4 +- 3.0,-88.9 +- 6.6
always_2,413.3 +- 9.9,-257.0 +- 7.1,-67.4 +- 3.0,-88.9 +- 6.6
always_3,-39.2 +- 3.6,-257.0 +- 7.1,385.1 +- 8.9,-88.9 +- 6.6
CNN_20_ENMO_HRV,-38.8 +- 3.6,51.9 +- 7.6,-2.2 +- 5.2,-10.8 +- 5.4
CNN_50_ENMO_HRV,-37.7 +- 3.5,21.2 +- 8.1,14.6 +- 6.0,1.9 +- 5.7
CNN_100_ENMO_HRV,-34.6 +- 3.5,34.7 +- 7.5,1.5 +- 4.7,-1.7 +- 6.3
LSTM_20_ENMO_HRV,-37.7 +- 3.5,41.2 +- 6.9,-9.1 +- 4.0,5.6 +- 5.6
LSTM_50_ENMO_HRV,-36.2 +- 3.5,33.2 +- 6.7,-7.5 +- 3.9,10.5 +- 5.8
LSTM_100_ENMO_HRV,-32.5 +- 3.5,65.5 +- 6.8,-25.7 +- 3.6,-7.3 +- 5.5
SGD_hinge,-39.2 +- 3.6,115.9 +- 7.9,-67.4 +- 3.0,-9.4 +- 6.6
SGD_log,-39.0 +- 3.6,111.7 +- 8.1,-67.3 +- 3.0,-5.3 +- 6.8
SGD_perceptron,16.7 +- 6.3,79.0 +- 8.9,-44.5 +- 4.0,-51.1 +- 5.9
Random_forest_300,-38.8 +- 3.6,96.3 +- 7.6,-61.3 +- 2.9,3.8 +- 6.3
stages,39.2 +- 3.6,257.5 +- 7.0,67.4 +- 3.0,88.9 +- 6.6
