,Deep sleep,Light sleep,REM sleep,Wake
always_0,-39.2 +- 3.6,-257.0 +- 7.1,-67.4 +- 3.0,363.5 +- 8.9
always_1,-39.2 +- 3.6,195.5 +- 7.4,-67.4 +- 3.0,-88.9 +- 6.6
always_2,413.3 +- 9.9,-257.0 +- 7.1,-67.4 +- 3.0,-88.9 +- 6.6
always_3,-39.2 +- 3.6,-257.0 +- 7.1,385.1 +- 8.9,-88.9 +- 6.6
CNN_20_HRV,-39.0 +- 3.6,45.2 +- 8.9,-15.8 +- 5.2,9.6 +- 8.1
CNN_50_HRV,-37.4 +- 3.5,44.3 +- 8.3,-2.7 +- 5.6,-4.2 +- 7.5
CNN_100_HRV,-34.9 +- 3.5,29.3 +- 8.0,2.6 +- 4.8,3.0 +- 7.9
LSTM_20_HRV,-38.5 +- 3.6,40.6 +- 7.2,-18.8 +- 4.0,16.7 +- 6.9
LSTM_50_HRV,-36.3 +- 3.5,45.5 +- 6.9,-18.1 +- 3.9,8.9 +- 6.6
LSTM_100_HRV,-33.7 +- 3.5,45.2 +- 7.2,-16.1 +- 3.6,4.7 +- 7.0
SGD_hinge,-39.2 +- 3.6,97.7 +- 13.1,-67.3 +- 3.0,8.9 +- 13.1
SGD_log,-39.2 +- 3.6,83.6 +- 13.1,-67.4 +- 3.0,22.9 +- 13.1
SGD_perceptron,81.5 +- 14.5,-151.1 +- 14.4,119.8 +- 15.9,-50.2 +- 7.0
Random_forest_300,-38.9 +- 3.6,64.1 +- 12.1,-64.8 +- 3.0,39.6 +- 11.7
stages,39.2 +- 3.6,257.5 +- 7.0,67.4 +- 3.0,88.9 +- 6.6
