,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,19.3 +- 1.3,0.0 +- 0.0,8.2 +- 0.7,5.2 +- 0.6,25.9 +- 0.5,74.1 +- 0.5
always_1,57.4 +- 1.2,0.0 +- 0.0,18.8 +- 0.6,15.0 +- 0.6,25.9 +- 0.5,74.1 +- 0.5
always_2,9.0 +- 0.9,0.0 +- 0.0,4.1 +- 0.6,2.5 +- 0.6,23.8 +- 0.7,74.7 +- 0.4
always_3,15.1 +- 0.8,0.0 +- 0.0,6.7 +- 0.6,4.0 +- 0.6,25.3 +- 0.5,74.3 +- 0.5
CNN_20_HRV,60.9 +- 1.3,27.5 +- 1.9,39.8 +- 1.1,44.6 +- 1.2,43.7 +- 1.0,81.7 +- 0.6
CNN_50_HRV,62.7 +- 1.3,32.4 +- 2.1,42.4 +- 1.2,49.5 +- 1.5,46.0 +- 1.1,82.6 +- 0.6
CNN_100_HRV,62.5 +- 1.3,34.3 +- 2.1,44.0 +- 1.2,51.8 +- 1.6,47.5 +- 1.1,83.0 +- 0.7
LSTM_20_HRV,62.8 +- 1.2,30.5 +- 2.0,42.0 +- 1.0,47.9 +- 1.4,45.5 +- 0.9,82.7 +- 0.6
LSTM_50_HRV,64.3 +- 1.2,33.2 +- 2.3,43.7 +- 1.2,51.0 +- 1.5,46.5 +- 1.0,83.1 +- 0.6
LSTM_100_HRV,64.5 +- 1.3,35.0 +- 2.3,44.7 +- 1.3,51.8 +- 1.6,47.0 +- 1.1,83.2 +- 0.6
SGD_hinge,54.9 +- 1.5,4.9 +- 0.9,25.9 +- 0.9,30.2 +- 1.1,32.0 +- 0.8,77.0 +- 0.6
SGD_log,54.4 +- 1.5,6.0 +- 0.9,26.5 +- 0.9,29.5 +- 1.0,32.8 +- 0.8,77.3 +- 0.6
SGD_perceptron,26.6 +- 1.6,2.9 +- 1.0,19.6 +- 1.0,30.8 +- 1.2,28.7 +- 0.9,76.0 +- 0.5
Random_forest_300,53.0 +- 1.3,5.8 +- 0.8,26.7 +- 0.8,33.4 +- 1.2,32.7 +- 0.7,77.5 +- 0.5
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
