,accuracy,f1-score,precision,recall,specificity
always_0_0,33.5 +- 1.4,48.8 +- 1.5,33.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
always_0_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,47.0 +- 1.1,63.2 +- 1.1,47.0 +- 1.1,100.0 +- 0.0,0.0 +- 0.0
always_1_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_2,7.2 +- 0.7,12.9 +- 1.1,7.2 +- 0.7,94.3 +- 2.4,0.0 +- 0.0
always_2_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_3,12.3 +- 0.5,21.5 +- 0.8,12.3 +- 0.5,98.9 +- 1.1,0.0 +- 0.0
CNN_20_ENMO_HRV_0,58.3 +- 1.7,72.3 +- 1.5,81.6 +- 1.6,68.4 +- 1.9,91.4 +- 1.0
CNN_20_ENMO_HRV_1,55.7 +- 1.3,70.6 +- 1.2,64.6 +- 1.4,81.3 +- 1.5,60.5 +- 1.5
CNN_20_ENMO_HRV_2,0.3 +- 0.1,0.5 +- 0.2,7.3 +- 2.5,0.2 +- 0.1,100.0 +- 0.0
CNN_20_ENMO_HRV_3,32.0 +- 2.0,45.3 +- 2.4,52.2 +- 2.7,49.3 +- 3.0,92.7 +- 0.8
CNN_50_ENMO_HRV_0,62.1 +- 1.7,75.3 +- 1.4,80.3 +- 1.7,74.6 +- 1.8,89.5 +- 1.2
CNN_50_ENMO_HRV_1,55.3 +- 1.5,70.0 +- 1.4,68.1 +- 1.4,75.9 +- 1.8,68.3 +- 1.5
CNN_50_ENMO_HRV_2,1.6 +- 0.5,2.7 +- 0.8,17.5 +- 3.6,2.0 +- 0.8,99.9 +- 0.0
CNN_50_ENMO_HRV_3,35.8 +- 2.1,49.4 +- 2.4,50.8 +- 2.6,59.1 +- 3.2,90.6 +- 1.0
CNN_100_ENMO_HRV_0,61.7 +- 1.7,75.0 +- 1.5,81.3 +- 1.7,73.5 +- 1.9,89.7 +- 1.4
CNN_100_ENMO_HRV_1,56.8 +- 1.4,71.3 +- 1.3,67.6 +- 1.4,78.9 +- 1.7,66.4 +- 1.5
CNN_100_ENMO_HRV_2,4.6 +- 0.9,7.5 +- 1.4,28.7 +- 4.2,5.7 +- 1.2,99.6 +- 0.1
CNN_100_ENMO_HRV_3,35.6 +- 2.2,48.9 +- 2.5,52.3 +- 2.6,54.3 +- 3.2,92.8 +- 0.7
LSTM_20_ENMO_HRV_0,59.3 +- 1.6,73.3 +- 1.3,77.3 +- 1.7,73.2 +- 1.7,88.4 +- 1.2
LSTM_20_ENMO_HRV_1,56.7 +- 1.3,71.5 +- 1.1,66.5 +- 1.4,80.3 +- 1.4,64.2 +- 1.4
LSTM_20_ENMO_HRV_2,1.4 +- 0.4,2.4 +- 0.7,16.0 +- 3.4,1.5 +- 0.5,99.9 +- 0.0
LSTM_20_ENMO_HRV_3,34.3 +- 2.0,48.0 +- 2.3,57.1 +- 2.7,48.6 +- 2.7,94.3 +- 0.6
LSTM_50_ENMO_HRV_0,62.5 +- 1.6,75.8 +- 1.3,77.7 +- 1.7,77.4 +- 1.6,87.7 +- 1.3
LSTM_50_ENMO_HRV_1,58.1 +- 1.4,72.6 +- 1.2,68.8 +- 1.4,79.6 +- 1.5,68.0 +- 1.4
LSTM_50_ENMO_HRV_2,3.0 +- 0.7,4.9 +- 1.1,22.1 +- 4.0,3.6 +- 1.0,99.7 +- 0.1
