,accuracy,f1-score,precision,recall,specificity
always_0_0,33.5 +- 1.4,48.8 +- 1.5,33.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
always_0_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,47.0 +- 1.1,63.2 +- 1.1,47.0 +- 1.1,100.0 +- 0.0,0.0 +- 0.0
always_1_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_2,7.2 +- 0.7,12.9 +- 1.1,7.2 +- 0.7,94.3 +- 2.4,0.0 +- 0.0
always_2_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_3,12.3 +- 0.5,21.5 +- 0.8,12.3 +- 0.5,98.9 +- 1.1,0.0 +- 0.0
CNN_20_HRV_0,44.8 +- 1.5,60.5 +- 1.5,70.7 +- 1.9,59.8 +- 2.1,84.7 +- 1.7
CNN_20_HRV_1,52.3 +- 1.5,67.5 +- 1.4,61.9 +- 1.5,79.0 +- 1.9,56.8 +- 1.8
CNN_20_HRV_2,0.1 +- 0.1,0.2 +- 0.1,4.0 +- 1.9,0.1 +- 0.1,100.0 +- 0.0
CNN_20_HRV_3,24.7 +- 1.8,36.5 +- 2.4,47.4 +- 2.9,37.9 +- 2.9,93.8 +- 0.8
CNN_50_HRV_0,48.4 +- 1.7,63.7 +- 1.6,75.9 +- 1.9,61.0 +- 2.1,88.0 +- 1.5
CNN_50_HRV_1,54.3 +- 1.4,69.3 +- 1.3,63.7 +- 1.5,80.1 +- 1.7,59.4 +- 1.7
CNN_50_HRV_2,1.8 +- 0.5,2.9 +- 0.8,17.5 +- 3.6,2.1 +- 0.8,99.8 +- 0.1
CNN_50_HRV_3,29.5 +- 2.1,41.6 +- 2.6,46.9 +- 2.9,46.8 +- 3.3,92.3 +- 0.9
CNN_100_HRV_0,50.9 +- 1.6,66.0 +- 1.5,75.0 +- 2.0,65.1 +- 2.0,86.5 +- 1.7
CNN_100_HRV_1,54.1 +- 1.4,69.1 +- 1.4,65.2 +- 1.5,77.2 +- 1.7,64.1 +- 1.5
CNN_100_HRV_2,4.3 +- 0.8,7.1 +- 1.3,28.7 +- 4.2,5.4 +- 1.2,99.6 +- 0.1
CNN_100_HRV_3,31.7 +- 2.1,44.6 +- 2.5,47.0 +- 2.7,51.4 +- 3.2,91.8 +- 0.7
LSTM_20_HRV_0,48.0 +- 1.4,63.8 +- 1.3,68.7 +- 1.8,64.5 +- 1.7,84.0 +- 1.3
LSTM_20_HRV_1,55.0 +- 1.4,70.0 +- 1.2,64.4 +- 1.4,80.1 +- 1.5,60.9 +- 1.5
LSTM_20_HRV_2,0.9 +- 0.3,1.5 +- 0.5,13.8 +- 3.4,0.9 +- 0.4,99.9 +- 0.0
LSTM_20_HRV_3,28.2 +- 1.9,40.8 +- 2.4,51.5 +- 2.8,40.2 +- 2.8,94.8 +- 0.5
LSTM_50_HRV_0,52.2 +- 1.6,67.2 +- 1.4,72.3 +- 1.8,67.3 +- 1.9,86.2 +- 1.3
LSTM_50_HRV_1,56.9 +- 1.4,71.5 +- 1.3,65.5 +- 1.5,81.7 +- 1.4,62.2 +- 1.5
LSTM_50_HRV_2,3.2 +- 0.7,5.3 +- 1.1,22.1 +- 3.9,4.6 +- 1.4,99.7 +- 0.1
LSTM_50_HRV_3,30.8 +- 2.2,43.3 +- 2.6,55.2 +- 3.1,42.0 +- 2.9,95.2 +- 0.5
