,Deep sleep,Light sleep,REM sleep,Wake
always_0,-39.3 +- 3.6,-258.2 +- 7.0,-67.6 +- 3.0,365.1 +- 8.7
always_1,-39.3 +- 3.6,294.3 +- 8.2,-67.6 +- 3.0,-187.4 +- 8.6
always_2,513.2 +- 9.4,-258.2 +- 7.0,-67.6 +- 3.0,-187.4 +- 8.6
always_3,-39.3 +- 3.6,-258.2 +- 7.0,484.8 +- 8.5,-187.4 +- 8.6
CNN_20_ENMO,-39.3 +- 3.6,148.1 +- 8.4,-67.6 +- 3.0,-41.2 +- 7.4
CNN_50_ENMO,-39.3 +- 3.6,126.3 +- 8.8,-67.5 +- 3.0,-19.4 +- 7.8
CNN_100_ENMO,-39.3 +- 3.6,133.2 +- 8.7,-67.5 +- 3.0,-26.4 +- 7.6
LSTM_20_ENMO,-39.3 +- 3.6,152.2 +- 8.0,-67.5 +- 3.0,-45.4 +- 7.0
LSTM_50_ENMO,-39.3 +- 3.6,143.0 +- 8.2,-67.3 +- 3.0,-36.3 +- 7.1
LSTM_100_ENMO,-39.3 +- 3.6,139.4 +- 8.5,-67.6 +- 3.0,-32.5 +- 7.4
SGD_hinge,-39.3 +- 3.6,148.2 +- 8.5,-67.6 +- 3.0,-41.2 +- 7.7
SGD_log,-39.2 +- 3.6,140.9 +- 8.6,-67.6 +- 3.0,-34.1 +- 7.7
SGD_perceptron,57.6 +- 5.2,-32.5 +- 8.6,57.2 +- 4.5,-82.3 +- 7.3
Random_forest_300,-37.1 +- 3.6,112.1 +- 8.1,-59.3 +- 2.9,-15.6 +- 7.3
stages,39.3 +- 3.6,258.2 +- 7.0,67.6 +- 3.0,187.4 +- 8.6
