,Deep sleep,Light sleep,REM sleep,Wake
always_0,-39.3 +- 3.6,-258.2 +- 7.0,-67.6 +- 3.0,365.1 +- 8.7
always_1,-39.3 +- 3.6,294.3 +- 8.2,-67.6 +- 3.0,-187.4 +- 8.6
always_2,513.2 +- 9.4,-258.2 +- 7.0,-67.6 +- 3.0,-187.4 +- 8.6
always_3,-39.3 +- 3.6,-258.2 +- 7.0,484.8 +- 8.5,-187.4 +- 8.6
CNN_20_ENMO_HRV,-38.9 +- 3.6,69.9 +- 8.5,1.1 +- 5.4,-32.1 +- 6.9
CNN_50_ENMO_HRV,-37.8 +- 3.6,32.5 +- 8.8,18.5 +- 6.2,-13.2 +- 7.1
CNN_100_ENMO_HRV,-34.5 +- 3.5,46.1 +- 8.1,4.4 +- 4.8,-15.9 +- 7.5
LSTM_20_ENMO_HRV,-37.8 +- 3.5,55.7 +- 7.7,-6.6 +- 4.1,-11.2 +- 7.0
LSTM_50_ENMO_HRV,-36.2 +- 3.5,42.8 +- 7.4,-5.6 +- 4.0,-1.0 +- 6.9
LSTM_100_ENMO_HRV,-32.4 +- 3.5,76.0 +- 7.3,-24.7 +- 3.7,-18.9 +- 6.6
SGD_hinge,-39.3 +- 3.6,137.9 +- 8.6,-67.6 +- 3.0,-30.9 +- 7.9
SGD_log,-39.2 +- 3.6,132.6 +- 8.8,-67.6 +- 3.0,-25.9 +- 8.1
SGD_perceptron,35.6 +- 6.9,96.5 +- 9.6,-28.6 +- 4.3,-103.5 +- 7.7
Random_forest_300,-38.9 +- 3.6,115.3 +- 8.3,-61.3 +- 2.9,-15.2 +- 7.6
stages,39.3 +- 3.6,258.2 +- 7.0,67.6 +- 3.0,187.4 +- 8.6
