,Deep sleep,Light sleep,REM sleep,Wake
always_0,-39.3 +- 3.6,-258.2 +- 7.0,-67.6 +- 3.0,365.1 +- 8.7
always_1,-39.3 +- 3.6,294.3 +- 8.2,-67.6 +- 3.0,-187.4 +- 8.6
always_2,513.2 +- 9.4,-258.2 +- 7.0,-67.6 +- 3.0,-187.4 +- 8.6
always_3,-39.3 +- 3.6,-258.2 +- 7.0,484.8 +- 8.5,-187.4 +- 8.6
CNN_20_HRV,-39.1 +- 3.6,75.7 +- 10.4,-10.9 +- 5.5,-25.7 +- 10.2
CNN_50_HRV,-37.5 +- 3.5,70.8 +- 9.5,3.1 +- 6.0,-36.3 +- 9.4
CNN_100_HRV,-34.8 +- 3.5,49.6 +- 8.9,8.2 +- 5.1,-23.0 +- 9.5
LSTM_20_HRV,-38.6 +- 3.6,65.6 +- 8.3,-13.9 +- 4.3,-13.2 +- 8.4
LSTM_50_HRV,-36.4 +- 3.5,65.9 +- 7.9,-14.6 +- 4.1,-15.0 +- 8.1
LSTM_100_HRV,-33.7 +- 3.5,60.4 +- 8.1,-13.5 +- 3.8,-13.1 +- 8.4
SGD_hinge,-39.3 +- 3.6,150.1 +- 15.3,-67.6 +- 3.0,-43.2 +- 15.7
SGD_log,-39.3 +- 3.6,133.2 +- 15.2,-67.6 +- 3.0,-26.3 +- 15.6
SGD_perceptron,105.1 +- 16.6,-141.8 +- 15.7,172.9 +- 18.4,-136.2 +- 9.0
Random_forest_300,-39.0 +- 3.6,108.0 +- 13.9,-64.7 +- 3.0,-4.3 +- 14.0
stages,39.3 +- 3.6,258.2 +- 7.0,67.6 +- 3.0,187.4 +- 8.6
