,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,33.5 +- 1.4,0.0 +- 0.0,12.6 +- 0.5,8.7 +- 0.4,25.7 +- 0.3,74.3 +- 0.3
always_1,47.0 +- 1.1,0.0 +- 0.0,16.2 +- 0.4,12.1 +- 0.3,25.7 +- 0.3,74.3 +- 0.3
always_2,7.2 +- 0.7,0.0 +- 0.0,3.2 +- 0.3,1.8 +- 0.2,23.6 +- 0.6,74.9 +- 0.1
always_3,12.3 +- 0.5,0.0 +- 0.0,5.4 +- 0.2,3.1 +- 0.1,25.1 +- 0.3,74.5 +- 0.2
CNN_20_ENMO,62.6 +- 1.0,31.3 +- 1.3,34.8 +- 0.7,35.1 +- 0.8,38.6 +- 0.7,82.3 +- 0.4
CNN_50_ENMO,63.4 +- 1.0,33.1 +- 1.4,35.3 +- 0.7,35.2 +- 0.8,39.3 +- 0.6,82.8 +- 0.4
CNN_100_ENMO,63.9 +- 1.0,33.5 +- 1.4,35.7 +- 0.7,36.3 +- 0.9,39.6 +- 0.7,83.0 +- 0.4
LSTM_20_ENMO,62.7 +- 1.0,31.3 +- 1.3,34.8 +- 0.7,35.4 +- 0.8,38.6 +- 0.7,82.3 +- 0.4
LSTM_50_ENMO,63.6 +- 1.0,33.0 +- 1.4,35.5 +- 0.7,35.6 +- 0.8,39.3 +- 0.7,82.7 +- 0.4
LSTM_100_ENMO,64.1 +- 1.0,33.5 +- 1.4,35.8 +- 0.7,35.6 +- 0.7,39.6 +- 0.7,82.9 +- 0.5
SGD_hinge,62.8 +- 1.1,32.0 +- 1.4,34.9 +- 0.8,35.3 +- 0.8,38.7 +- 0.7,82.3 +- 0.4
SGD_log,62.9 +- 1.1,32.2 +- 1.4,35.0 +- 0.8,35.2 +- 0.8,38.9 +- 0.7,82.5 +- 0.4
SGD_perceptron,41.3 +- 0.9,11.1 +- 1.1,31.0 +- 0.6,37.3 +- 0.6,31.1 +- 0.6,79.7 +- 0.3
Random_forest_300,61.4 +- 1.0,31.2 +- 1.3,35.0 +- 0.6,39.6 +- 0.9,38.1 +- 0.5,82.6 +- 0.4
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
