,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,33.5 +- 1.4,0.0 +- 0.0,12.6 +- 0.5,8.7 +- 0.4,25.7 +- 0.3,74.3 +- 0.3
always_1,47.0 +- 1.1,0.0 +- 0.0,16.2 +- 0.4,12.1 +- 0.3,25.7 +- 0.3,74.3 +- 0.3
always_2,7.2 +- 0.7,0.0 +- 0.0,3.2 +- 0.3,1.8 +- 0.2,23.6 +- 0.6,74.9 +- 0.1
always_3,12.3 +- 0.5,0.0 +- 0.0,5.4 +- 0.2,3.1 +- 0.1,25.1 +- 0.3,74.5 +- 0.2
CNN_20_ENMO_HRV,67.0 +- 1.0,48.3 +- 1.7,47.8 +- 0.9,52.2 +- 1.1,50.5 +- 0.9,85.9 +- 0.4
CNN_50_ENMO_HRV,68.0 +- 1.1,51.6 +- 1.9,49.9 +- 1.0,54.8 +- 1.3,53.5 +- 1.0,86.9 +- 0.4
CNN_100_ENMO_HRV,69.0 +- 1.0,51.6 +- 1.8,51.2 +- 1.1,58.0 +- 1.4,53.7 +- 1.0,87.0 +- 0.4
LSTM_20_ENMO_HRV,68.3 +- 1.0,50.0 +- 1.7,49.5 +- 0.9,55.0 +- 1.2,51.6 +- 0.9,86.5 +- 0.4
LSTM_50_ENMO_HRV,70.3 +- 1.0,53.8 +- 1.9,51.9 +- 1.0,57.9 +- 1.3,54.0 +- 1.0,87.4 +- 0.4
LSTM_100_ENMO_HRV,70.2 +- 1.0,51.7 +- 1.8,51.3 +- 1.1,59.9 +- 1.5,52.4 +- 1.0,86.9 +- 0.4
SGD_hinge,63.4 +- 1.1,32.9 +- 1.3,35.4 +- 0.7,35.2 +- 0.8,39.4 +- 0.7,82.7 +- 0.4
SGD_log,63.5 +- 1.0,32.9 +- 1.3,35.5 +- 0.7,35.6 +- 0.8,39.5 +- 0.7,82.8 +- 0.4
SGD_perceptron,50.6 +- 1.1,0.6 +- 1.4,30.0 +- 0.6,36.8 +- 0.5,31.3 +- 0.5,80.7 +- 0.3
Random_forest_300,63.6 +- 1.0,34.4 +- 1.3,36.7 +- 0.6,44.7 +- 1.3,40.1 +- 0.6,83.3 +- 0.4
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
