,N1 sleep,N2 sleep,N3 sleep,REM sleep,Wake
always_0,-49.1 +- 3.2,-207.9 +- 6.3,-39.2 +- 3.6,-67.4 +- 3.0,363.5 +- 8.9
always_1,403.4 +- 9.3,-207.9 +- 6.3,-39.2 +- 3.6,-67.4 +- 3.0,-88.9 +- 6.6
always_2,-49.1 +- 3.2,244.6 +- 8.1,-39.2 +- 3.6,-67.4 +- 3.0,-88.9 +- 6.6
always_3,-49.1 +- 3.2,-207.9 +- 6.3,413.3 +- 9.9,-67.4 +- 3.0,-88.9 +- 6.6
always_4,-49.1 +- 3.2,-207.9 +- 6.3,-39.2 +- 3.6,385.1 +- 8.9,-88.9 +- 6.6
CNN_20_ENMO,-49.1 +- 3.2,150.7 +- 8.1,-39.2 +- 3.6,-67.1 +- 3.0,4.6 +- 6.5
CNN_50_ENMO,-49.1 +- 3.2,125.5 +- 8.8,-39.2 +- 3.6,-67.0 +- 3.0,29.8 +- 7.5
CNN_100_ENMO,-49.1 +- 3.2,133.4 +- 8.8,-39.2 +- 3.6,-65.5 +- 3.0,20.4 +- 7.3
LSTM_20_ENMO,-49.1 +- 3.2,150.5 +- 7.9,-39.1 +- 3.6,-67.4 +- 3.0,5.1 +- 6.1
LSTM_50_ENMO,-49.1 +- 3.2,153.3 +- 8.1,-39.2 +- 3.6,-67.3 +- 3.0,2.3 +- 6.2
LSTM_100_ENMO,-49.1 +- 3.2,146.8 +- 8.4,-39.2 +- 3.6,-67.4 +- 3.0,8.8 +- 6.6
SGD_hinge,-44.5 +- 3.2,100.4 +- 8.7,-37.6 +- 3.5,-60.4 +- 3.0,42.1 +- 7.7
SGD_log,-49.1 +- 3.2,144.9 +- 8.3,-39.1 +- 3.6,-67.4 +- 3.0,10.6 +- 6.8
SGD_perceptron,-21.8 +- 3.4,-12.0 +- 7.6,139.0 +- 8.2,-42.8 +- 4.1,-62.4 +- 5.9
Random_forest_300,-44.3 +- 3.2,105.2 +- 7.6,-36.7 +- 3.5,-56.3 +- 2.8,32.1 +- 6.5
stages,49.6 +- 3.3,207.9 +- 6.3,39.2 +- 3.6,67.4 +- 3.0,88.9 +- 6.6
