,N1 sleep,N2 sleep,N3 sleep,REM sleep,Wake
always_0,-49.1 +- 3.2,-207.9 +- 6.3,-39.2 +- 3.6,-67.4 +- 3.0,363.5 +- 8.9
always_1,403.4 +- 9.3,-207.9 +- 6.3,-39.2 +- 3.6,-67.4 +- 3.0,-88.9 +- 6.6
always_2,-49.1 +- 3.2,244.6 +- 8.1,-39.2 +- 3.6,-67.4 +- 3.0,-88.9 +- 6.6
always_3,-49.1 +- 3.2,-207.9 +- 6.3,413.3 +- 9.9,-67.4 +- 3.0,-88.9 +- 6.6
always_4,-49.1 +- 3.2,-207.9 +- 6.3,-39.2 +- 3.6,385.1 +- 8.9,-88.9 +- 6.6
CNN_20_ENMO_HRV,-43.3 +- 3.0,66.0 +- 7.7,-39.0 +- 3.6,14.1 +- 5.8,2.2 +- 5.8
CNN_50_ENMO_HRV,-42.0 +- 3.1,73.1 +- 7.9,-37.9 +- 3.5,11.5 +- 5.7,-4.7 +- 5.7
CNN_100_ENMO_HRV,-40.3 +- 3.1,78.2 +- 7.4,-34.3 +- 3.5,5.0 +- 4.8,-8.6 +- 5.8
LSTM_20_ENMO_HRV,-45.4 +- 3.0,57.3 +- 6.8,-37.7 +- 3.5,0.5 +- 4.2,25.4 +- 5.8
LSTM_50_ENMO_HRV,-45.8 +- 3.0,63.4 +- 7.2,-35.2 +- 3.5,-14.3 +- 3.8,31.9 +- 6.1
LSTM_100_ENMO_HRV,-45.9 +- 3.0,88.0 +- 7.1,-32.3 +- 3.5,-17.5 +- 3.8,7.7 +- 5.7
SGD_hinge,-44.7 +- 3.1,100.0 +- 9.1,-38.6 +- 3.6,-63.2 +- 3.0,46.5 +- 8.1
SGD_log,-47.5 +- 3.1,120.1 +- 8.8,-39.1 +- 3.6,-66.9 +- 3.0,33.4 +- 7.8
SGD_perceptron,-17.7 +- 3.8,64.5 +- 9.0,20.6 +- 6.0,1.0 +- 5.6,-68.4 +- 6.0
Random_forest_300,-48.3 +- 3.2,108.2 +- 7.9,-38.6 +- 3.6,-55.2 +- 3.1,33.9 +- 6.9
stages,49.6 +- 3.3,207.9 +- 6.3,39.2 +- 3.6,67.4 +- 3.0,88.9 +- 6.6
