,N1 sleep,N2 sleep,N3 sleep,REM sleep,Wake
always_0,-49.1 +- 3.2,-207.9 +- 6.3,-39.2 +- 3.6,-67.4 +- 3.0,363.5 +- 8.9
always_1,403.4 +- 9.3,-207.9 +- 6.3,-39.2 +- 3.6,-67.4 +- 3.0,-88.9 +- 6.6
always_2,-49.1 +- 3.2,244.6 +- 8.1,-39.2 +- 3.6,-67.4 +- 3.0,-88.9 +- 6.6
always_3,-49.1 +- 3.2,-207.9 +- 6.3,413.3 +- 9.9,-67.4 +- 3.0,-88.9 +- 6.6
always_4,-49.1 +- 3.2,-207.9 +- 6.3,-39.2 +- 3.6,385.1 +- 8.9,-88.9 +- 6.6
CNN_20_HRV,-44.4 +- 3.0,74.0 +- 8.7,-39.0 +- 3.6,-9.4 +- 5.4,18.8 +- 8.2
CNN_50_HRV,-40.9 +- 3.0,46.2 +- 9.8,-36.4 +- 3.5,-30.8 +- 4.8,62.0 +- 10.4
CNN_100_HRV,-41.0 +- 3.1,57.6 +- 8.4,-29.8 +- 3.5,-15.7 +- 4.5,28.9 +- 9.0
LSTM_20_HRV,-48.0 +- 3.1,155.7 +- 9.7,-39.2 +- 3.6,-58.9 +- 3.1,-9.7 +- 8.8
LSTM_50_HRV,-49.0 +- 3.2,84.3 +- 12.3,-39.2 +- 3.6,-66.7 +- 3.0,70.6 +- 11.9
LSTM_100_HRV,-49.1 +- 3.2,160.0 +- 9.6,-39.2 +- 3.6,-65.8 +- 3.0,-5.9 +- 8.6
SGD_hinge,-45.9 +- 3.1,-23.8 +- 14.3,-31.5 +- 4.1,-62.2 +- 3.2,163.5 +- 15.4
SGD_log,-48.2 +- 3.2,87.1 +- 13.9,-39.2 +- 3.6,-67.3 +- 3.0,67.6 +- 13.8
SGD_perceptron,28.8 +- 11.2,-102.3 +- 14.1,153.9 +- 13.3,1.3 +- 6.9,-81.7 +- 6.5
Random_forest_300,-46.1 +- 3.1,62.8 +- 12.1,-38.8 +- 3.6,-61.7 +- 3.1,83.9 +- 12.2
stages,49.6 +- 3.3,207.9 +- 6.3,39.2 +- 3.6,67.4 +- 3.0,88.9 +- 6.6
