,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,19.3 +- 1.3,0.0 +- 0.0,6.6 +- 0.6,4.2 +- 0.6,20.8 +- 0.6,79.2 +- 0.6
always_1,11.1 +- 0.8,0.0 +- 0.0,4.1 +- 0.6,2.5 +- 0.6,20.2 +- 0.5,79.4 +- 0.5
always_2,46.6 +- 1.2,0.0 +- 0.0,13.2 +- 0.6,9.9 +- 0.6,20.8 +- 0.6,79.2 +- 0.6
always_3,9.0 +- 0.9,0.0 +- 0.0,3.3 +- 0.6,2.0 +- 0.6,19.1 +- 0.7,79.6 +- 0.5
always_4,15.1 +- 0.8,0.0 +- 0.0,5.4 +- 0.6,3.3 +- 0.6,20.2 +- 0.5,79.4 +- 0.5
CNN_20_ENMO,50.9 +- 1.2,27.4 +- 1.8,22.5 +- 0.8,21.5 +- 0.9,28.1 +- 0.7,82.0 +- 0.6
CNN_50_ENMO,50.1 +- 1.2,28.5 +- 1.8,22.5 +- 0.8,21.1 +- 0.9,28.6 +- 0.7,82.2 +- 0.6
CNN_100_ENMO,50.3 +- 1.2,28.0 +- 1.9,22.6 +- 0.8,23.3 +- 1.0,28.3 +- 0.7,82.2 +- 0.6
LSTM_20_ENMO,50.9 +- 1.1,27.8 +- 1.8,22.7 +- 0.8,21.1 +- 0.9,28.3 +- 0.8,82.0 +- 0.6
LSTM_50_ENMO,51.3 +- 1.1,27.8 +- 1.9,22.7 +- 0.8,21.8 +- 0.9,28.2 +- 0.8,82.0 +- 0.6
LSTM_100_ENMO,50.7 +- 1.1,27.4 +- 1.9,22.4 +- 0.8,20.6 +- 0.9,28.0 +- 0.8,81.9 +- 0.6
SGD_hinge,48.5 +- 1.2,28.5 +- 1.8,23.0 +- 0.7,27.6 +- 0.9,28.5 +- 0.6,82.5 +- 0.5
SGD_log,50.8 +- 1.2,29.1 +- 1.8,22.8 +- 0.8,21.2 +- 0.9,28.6 +- 0.8,82.0 +- 0.6
SGD_perceptron,30.8 +- 1.0,13.3 +- 1.2,19.9 +- 0.7,27.8 +- 0.8,26.2 +- 0.8,80.8 +- 0.5
Random_forest_300,48.3 +- 1.1,27.2 +- 1.7,23.4 +- 0.7,28.0 +- 0.9,28.2 +- 0.6,82.5 +- 0.5
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
