,accuracy,f1-score,precision,recall,specificity
always_0_0,33.5 +- 1.4,48.8 +- 1.5,33.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
always_0_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,9.0 +- 0.6,16.0 +- 0.9,9.0 +- 0.6,98.9 +- 1.1,0.0 +- 0.0
always_1_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_2,38.0 +- 1.0,54.4 +- 1.1,38.0 +- 1.0,100.0 +- 0.0,0.0 +- 0.0
always_2_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_3,7.2 +- 0.7,12.9 +- 1.1,7.2 +- 0.7,94.3 +- 2.4,0.0 +- 0.0
always_3_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_4,12.3 +- 0.5,21.5 +- 0.8,12.3 +- 0.5,98.9 +- 1.1,0.0 +- 0.0
CNN_20_ENMO_0,54.1 +- 1.7,68.6 +- 1.6,74.3 +- 1.9,67.7 +- 1.9,86.7 +- 1.4
CNN_20_ENMO_1,0.0 +- 0.0,0.0 +- 0.0,1.0 +- 0.9,0.0 +- 0.0,100.0 +- 0.0
CNN_20_ENMO_2,44.6 +- 1.2,60.8 +- 1.2,48.0 +- 1.2,86.6 +- 1.5,42.1 +- 1.6
CNN_20_ENMO_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
CNN_20_ENMO_4,0.0 +- 0.0,0.1 +- 0.1,1.5 +- 1.2,0.0 +- 0.0,100.0 +- 0.0
CNN_50_ENMO_0,56.1 +- 1.7,70.4 +- 1.6,70.2 +- 1.9,75.3 +- 1.8,81.8 +- 1.7
CNN_50_ENMO_1,0.0 +- 0.0,0.1 +- 0.0,1.3 +- 1.1,0.0 +- 0.0,100.0 +- 0.0
CNN_50_ENMO_2,44.1 +- 1.3,60.2 +- 1.3,49.4 +- 1.2,81.4 +- 1.8,48.3 +- 1.7
CNN_50_ENMO_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
CNN_50_ENMO_4,0.1 +- 0.0,0.1 +- 0.1,3.4 +- 1.6,0.1 +- 0.0,99.9 +- 0.0
CNN_100_ENMO_0,57.0 +- 1.8,71.1 +- 1.6,72.2 +- 2.0,74.4 +- 1.9,83.5 +- 1.6
CNN_100_ENMO_1,0.0 +- 0.0,0.0 +- 0.0,0.9 +- 0.9,0.0 +- 0.0,100.0 +- 0.0
