,N1 sleep,N2 sleep,N3 sleep,REM sleep,Wake
always_0,-49.4 +- 3.2,-208.7 +- 6.2,-39.3 +- 3.6,-67.6 +- 3.0,365.1 +- 8.7
always_1,503.0 +- 8.8,-208.7 +- 6.2,-39.3 +- 3.6,-67.6 +- 3.0,-187.4 +- 8.6
always_2,-49.4 +- 3.2,343.7 +- 8.3,-39.3 +- 3.6,-67.6 +- 3.0,-187.4 +- 8.6
always_3,-49.4 +- 3.2,-208.7 +- 6.2,513.2 +- 9.4,-67.6 +- 3.0,-187.4 +- 8.6
always_4,-49.4 +- 3.2,-208.7 +- 6.2,-39.3 +- 3.6,484.8 +- 8.5,-187.4 +- 8.6
CNN_20_ENMO,-49.4 +- 3.2,170.4 +- 8.6,-39.3 +- 3.6,-67.4 +- 3.0,-14.4 +- 7.8
CNN_50_ENMO,-49.4 +- 3.2,138.2 +- 9.2,-39.3 +- 3.6,-67.3 +- 3.0,17.8 +- 8.5
CNN_100_ENMO,-49.4 +- 3.2,144.7 +- 9.1,-39.3 +- 3.6,-65.6 +- 3.0,9.6 +- 8.3
LSTM_20_ENMO,-49.4 +- 3.2,170.0 +- 8.4,-39.2 +- 3.6,-67.6 +- 3.0,-13.7 +- 7.4
LSTM_50_ENMO,-49.4 +- 3.2,169.2 +- 8.5,-39.3 +- 3.6,-67.6 +- 3.0,-12.9 +- 7.5
LSTM_100_ENMO,-49.4 +- 3.2,159.7 +- 8.7,-39.3 +- 3.6,-67.6 +- 3.0,-3.3 +- 7.5
SGD_hinge,-44.5 +- 3.2,114.3 +- 9.2,-37.7 +- 3.6,-60.3 +- 3.0,28.2 +- 8.8
SGD_log,-49.4 +- 3.2,163.3 +- 8.8,-39.2 +- 3.6,-67.6 +- 3.0,-7.1 +- 8.0
SGD_perceptron,-13.3 +- 3.5,5.9 +- 8.1,151.6 +- 8.3,-26.4 +- 4.5,-117.8 +- 7.6
Random_forest_300,-44.3 +- 3.3,120.8 +- 8.0,-36.7 +- 3.5,-56.0 +- 2.8,16.2 +- 7.6
stages,49.4 +- 3.2,208.7 +- 6.2,39.3 +- 3.6,67.6 +- 3.0,187.4 +- 8.6
