,N1 sleep,N2 sleep,N3 sleep,REM sleep,Wake
always_0,-49.4 +- 3.2,-208.7 +- 6.2,-39.3 +- 3.6,-67.6 +- 3.0,365.1 +- 8.7
always_1,503.0 +- 8.8,-208.7 +- 6.2,-39.3 +- 3.6,-67.6 +- 3.0,-187.4 +- 8.6
always_2,-49.4 +- 3.2,343.7 +- 8.3,-39.3 +- 3.6,-67.6 +- 3.0,-187.4 +- 8.6
always_3,-49.4 +- 3.2,-208.7 +- 6.2,513.2 +- 9.4,-67.6 +- 3.0,-187.4 +- 8.6
always_4,-49.4 +- 3.2,-208.7 +- 6.2,-39.3 +- 3.6,484.8 +- 8.5,-187.4 +- 8.6
CNN_20_ENMO_HRV,-43.3 +- 3.1,80.8 +- 8.4,-39.1 +- 3.6,18.5 +- 6.0,-16.9 +- 7.2
CNN_50_ENMO_HRV,-42.0 +- 3.1,86.6 +- 8.5,-37.9 +- 3.6,14.8 +- 5.9,-21.5 +- 7.1
CNN_100_ENMO_HRV,-40.2 +- 3.1,92.4 +- 8.0,-34.3 +- 3.5,8.2 +- 5.0,-26.2 +- 7.1
LSTM_20_ENMO_HRV,-45.6 +- 3.0,68.3 +- 7.3,-37.8 +- 3.5,3.8 +- 4.4,11.3 +- 7.0
LSTM_50_ENMO_HRV,-46.0 +- 3.0,71.9 +- 7.5,-35.2 +- 3.5,-12.9 +- 3.9,22.2 +- 7.1
LSTM_100_ENMO_HRV,-46.2 +- 3.0,97.7 +- 7.5,-32.3 +- 3.5,-15.9 +- 3.9,-3.3 +- 6.8
SGD_hinge,-44.8 +- 3.1,113.8 +- 9.6,-38.7 +- 3.6,-63.3 +- 3.0,33.0 +- 9.1
SGD_log,-47.7 +- 3.1,135.8 +- 9.3,-39.2 +- 3.6,-67.2 +- 3.0,18.3 +- 8.9
SGD_perceptron,-6.2 +- 4.1,79.3 +- 9.6,33.5 +- 6.5,26.8 +- 6.1,-133.4 +- 7.6
Random_forest_300,-48.6 +- 3.2,123.6 +- 8.4,-38.7 +- 3.6,-54.9 +- 3.1,18.6 +- 8.1
stages,49.4 +- 3.2,208.7 +- 6.2,39.3 +- 3.6,67.6 +- 3.0,187.4 +- 8.6
