,N1 sleep,N2 sleep,N3 sleep,REM sleep,Wake
always_0,-49.4 +- 3.2,-208.7 +- 6.2,-39.3 +- 3.6,-67.6 +- 3.0,365.1 +- 8.7
always_1,503.0 +- 8.8,-208.7 +- 6.2,-39.3 +- 3.6,-67.6 +- 3.0,-187.4 +- 8.6
always_2,-49.4 +- 3.2,343.7 +- 8.3,-39.3 +- 3.6,-67.6 +- 3.0,-187.4 +- 8.6
always_3,-49.4 +- 3.2,-208.7 +- 6.2,513.2 +- 9.4,-67.6 +- 3.0,-187.4 +- 8.6
always_4,-49.4 +- 3.2,-208.7 +- 6.2,-39.3 +- 3.6,484.8 +- 8.5,-187.4 +- 8.6
CNN_20_HRV,-44.4 +- 3.0,103.0 +- 9.8,-39.1 +- 3.6,-3.9 +- 5.8,-15.6 +- 10.1
CNN_50_HRV,-40.6 +- 3.1,69.5 +- 11.0,-36.4 +- 3.5,-28.2 +- 5.1,35.7 +- 12.1
CNN_100_HRV,-40.8 +- 3.1,81.2 +- 9.4,-29.5 +- 3.6,-12.0 +- 4.8,1.1 +- 10.7
LSTM_20_HRV,-48.3 +- 3.1,199.2 +- 10.7,-39.3 +- 3.6,-58.2 +- 3.2,-53.4 +- 10.7
LSTM_50_HRV,-49.3 +- 3.2,107.0 +- 13.3,-39.3 +- 3.6,-67.0 +- 3.0,48.6 +- 13.4
LSTM_100_HRV,-49.4 +- 3.2,189.7 +- 10.4,-39.3 +- 3.6,-66.0 +- 2.9,-34.9 +- 10.3
SGD_hinge,-45.9 +- 3.1,-1.7 +- 16.1,-30.8 +- 4.1,-62.1 +- 3.2,140.5 +- 17.5
SGD_log,-48.5 +- 3.2,128.0 +- 15.8,-39.3 +- 3.6,-67.6 +- 3.0,27.4 +- 16.2
SGD_perceptron,60.7 +- 13.2,-87.5 +- 16.0,188.3 +- 15.3,13.3 +- 7.5,-174.8 +- 8.5
Random_forest_300,-46.2 +- 3.2,97.8 +- 13.7,-38.9 +- 3.6,-61.3 +- 3.1,48.5 +- 14.3
stages,49.4 +- 3.2,208.7 +- 6.2,39.3 +- 3.6,67.6 +- 3.0,187.4 +- 8.6
