conv_filter,conv_layers,conv_len,acc_val,loss_val,acc_train,loss_train,stages,win_len
128,2,3,0.83343,0.39636,0.84877,0.42814,2,101
32,1,3,0.8393,0.39255,0.83888,0.44964,2,101
128,3,5,0.81903,0.4358,0.86861,0.37565,2,101
64,3,7,0.8237,0.42453,0.86939,0.3589,2,101
128,1,3,0.84237,0.38332,0.84083,0.42166,2,101
64,1,5,0.84527,0.37323,0.84301,0.43238,2,101
32,2,7,0.82765,0.40938,0.84887,0.41648,2,101
64,2,3,0.83209,0.39955,0.84787,0.44151,2,101
128,2,7,0.82161,0.44218,0.85937,0.42232,2,101
128,1,5,0.84463,0.37669,0.84219,0.4299,2,101
32,2,3,0.83472,0.39293,0.84412,0.46576,2,101
64,3,3,0.83742,0.3837,0.85315,0.40838,2,101
32,2,5,0.836,0.39208,0.845,0.41926,2,101
32,3,7,0.83628,0.39301,0.85198,0.4134,2,101
128,3,3,0.83212,0.39774,0.86315,0.37241,2,101
32,1,5,0.84257,0.37951,0.84184,0.44196,2,101
32,3,3,0.82897,0.40309,0.84721,0.41841,2,101
128,3,7,0.8172,0.46113,0.88742,0.35048,2,101
32,1,7,0.84296,0.38329,0.84229,0.42673,2,101
64,2,7,0.82491,0.4126,0.85471,0.41811,2,101
128,2,5,0.81653,0.42956,0.85392,0.44071,2,101
32,3,5,0.83994,0.38065,0.852,0.42387,2,101
128,1,7,0.84616,0.37521,0.84447,0.43246,2,101
64,1,7,0.84424,0.37881,0.84323,0.4384,2,101
64,1,3,0.84253,0.3827,0.84094,0.45462,2,101
64,3,5,0.83436,0.39334,0.86283,0.36717,2,101
64,2,5,0.81036,0.44318,0.85001,0.42268,2,101
128,2,3,0.83011,0.4011,0.83478,0.44425,2,21
32,1,3,0.82565,0.40896,0.8248,0.48694,2,21
128,3,5,0.82674,0.40415,0.84843,0.4304,2,21
64,3,7,0.83024,0.39783,0.84072,0.43023,2,21
128,1,3,0.82928,0.40231,0.82781,0.46319,2,21
64,1,5,0.83052,0.40097,0.82983,0.46715,2,21
32,2,7,0.82927,0.40171,0.83127,0.44151,2,21
64,2,3,0.83062,0.40093,0.8315,0.45724,2,21
