lstm_layers,num_hidden,acc_val,loss_val,acc_train,loss_train,stages,win_len
3,128,0.83102,0.40157,0.84666,0.14257,2,101
1,64,0.82152,0.42278,0.8467,0.10669,2,101
1,256,0.81555,0.42739,0.83998,0.12628,2,101
2,256,0.8041,0.44826,0.84603,0.10485,2,101
3,256,0.83226,0.39723,0.84615,0.15297,2,101
3,64,0.82769,0.40819,0.84601,0.13891,2,101
2,128,0.8233,0.41313,0.8432,0.14986,2,101
1,128,0.82291,0.41787,0.84218,0.12474,2,101
2,64,0.82364,0.42243,0.84293,0.14092,2,101
3,128,0.81454,0.41668,0.83836,0.12312,2,21
1,64,0.81625,0.42038,0.83346,0.12373,2,21
1,256,0.81548,0.42666,0.83902,0.10556,2,21
2,256,0.81256,0.42451,0.83847,0.099619,2,21
3,256,0.80844,0.42558,0.83887,0.11307,2,21
3,64,0.82525,0.40569,0.83964,0.11981,2,21
2,128,0.81695,0.42494,0.83752,0.099217,2,21
1,128,0.81131,0.43021,0.83872,0.11705,2,21
2,64,0.82145,0.42135,0.83671,0.1162,2,21
3,128,0.83208,0.39862,0.85062,0.10916,2,51
1,64,0.82932,0.40675,0.84453,0.10684,2,51
1,256,0.82987,0.40259,0.84774,0.090306,2,51
2,256,0.81704,0.41669,0.84435,0.12036,2,51
3,256,0.80637,0.41259,0.84779,0.096777,2,51
3,64,0.82841,0.40735,0.84765,0.11359,2,51
2,128,0.82568,0.4088,0.84525,0.11954,2,51
1,128,0.81936,0.41669,0.84508,0.13793,2,51
2,64,0.82808,0.40974,0.84418,0.13267,2,51
3,128,0.74323,0.66742,0.7758,0.44437,3,101
1,64,0.74196,0.64215,0.76462,0.50961,3,101
1,256,0.74626,0.66699,0.77818,0.42797,3,101
2,256,0.7501,0.67814,0.77895,0.49359,3,101
3,256,0.74322,0.6698,0.77723,0.54983,3,101
3,64,0.75132,0.64601,0.78024,0.65161,3,101
2,128,0.74923,0.64733,0.78025,0.35249,3,101
1,128,0.72713,0.68788,0.75662,0.7441,3,101
2,64,0.74143,0.66119,0.76901,0.70454,3,101
3,128,0.74201,0.65506,0.76736,0.85258,3,21
1,64,0.73063,0.66576,0.75285,0.92426,3,21
1,256,0.71985,0.69312,0.75643,0.92261,3,21
2,256,0.7237,0.68174,0.75676,0.84664,3,21
3,256,0.72462,0.69354,0.75767,0.81281,3,21
3,64,0.73943,0.64406,0.76536,1.0152,3,21
2,128,0.73341,0.66839,0.76124,1.1422,3,21
1,128,0.72173,0.67742,0.75825,0.99555,3,21
2,64,0.73141,0.66355,0.75385,0.89341,3,21
3,128,0.73125,0.70611,0.77688,0.50444,3,51
1,64,0.75187,0.62683,0.77443,0.6002,3,51
1,256,0.7388,0.65917,0.77274,0.64449,3,51
2,256,0.65762,0.8537,0.75853,1.1236,3,51
3,256,0.72829,0.67843,0.76957,0.5288,3,51
3,64,0.75791,0.63138,0.776,0.85183,3,51
2,128,0.75085,0.64098,0.77833,0.56445,3,51
1,128,0.73487,0.65272,0.77728,0.54552,3,51
2,64,0.73798,0.65274,0.76784,0.66618,3,51
3,128,0.68806,0.83374,0.72068,0.5542,4,101
1,64,0.66873,0.85869,0.69531,0.582,4,101
1,256,0.68314,0.84125,0.71764,0.3255,4,101
2,256,0.69576,0.83792,0.72577,0.544,4,101
3,256,0.68897,0.8532,0.72531,0.67357,4,101
3,64,0.69228,0.79248,0.71961,0.60792,4,101
2,128,0.68519,0.87895,0.71545,0.50141,4,101
1,128,0.68439,0.83058,0.7129,0.59969,4,101
2,64,0.65891,0.8673,0.68757,0.63109,4,101
3,128,0.6583,0.87082,0.70149,0.86251,4,21
1,64,0.66408,0.8423,0.68985,1.08,4,21
1,256,0.66221,0.88732,0.69592,1.0389,4,21
2,256,0.67232,0.86484,0.69669,0.80389,4,21
3,256,0.67022,0.84503,0.69568,0.7678,4,21
3,64,0.68172,0.80874,0.70287,0.96675,4,21
2,128,0.6712,0.83877,0.69888,0.9004,4,21
1,128,0.66347,0.85264,0.69472,1.031,4,21
2,64,0.6702,0.82876,0.69401,0.96536,4,21
3,128,0.68333,0.81048,0.72049,0.51943,4,51
1,64,0.67603,0.83447,0.71396,0.48308,4,51
1,256,0.67226,0.85612,0.71332,0.40223,4,51
2,256,0.68972,0.83597,0.71404,0.54591,4,51
3,256,0.68356,0.85539,0.71247,0.60404,4,51
3,64,0.68195,0.81165,0.71884,0.49113,4,51
2,128,0.68853,0.80651,0.71643,0.60107,4,51
1,128,0.6875,0.80577,0.71657,0.54965,4,51
2,64,0.68551,0.79224,0.71631,0.66185,4,51
3,128,0.61735,1.0468,0.65647,0.66169,5,101
1,64,0.585,1.1224,0.62794,0.92297,5,101
1,256,0.63281,1.0152,0.66876,1.1613,5,101
2,256,0.63499,1.0258,0.66656,0.73853,5,101
3,256,0.63222,1.0182,0.66977,0.73569,5,101
3,64,0.62667,0.99872,0.66972,0.9425,5,101
2,128,0.62802,1.013,0.66961,0.94131,5,101
1,128,0.62249,1.0233,0.6638,0.7216,5,101
2,64,0.616,1.0175,0.65422,1.0622,5,101
3,128,0.61208,1.0259,0.65075,1.0758,5,21
1,64,0.60911,1.0436,0.63602,1.2437,5,21
1,256,0.60856,1.0582,0.64391,1.2582,5,21
2,256,0.60225,1.0876,0.64286,1.1271,5,21
3,256,0.6026,1.0577,0.64172,1.1054,5,21
3,64,0.62052,1.015,0.64651,1.2053,5,21
2,128,0.60987,1.0415,0.64172,1.1853,5,21
1,128,0.60889,1.0448,0.64285,1.2714,5,21
2,64,0.59676,1.0576,0.63121,1.2307,5,21
3,128,0.62613,1.0247,0.66776,0.81746,5,51
1,64,0.62198,1.0205,0.65488,0.91538,5,51
1,256,0.63633,1.0122,0.66688,0.82338,5,51
2,256,0.6177,1.0572,0.66121,0.88827,5,51
3,256,0.63082,1.0064,0.66836,0.74304,5,51
3,64,0.64561,0.94604,0.67411,0.8108,5,51
2,128,0.62648,1.013,0.66404,0.93227,5,51
1,128,0.61809,1.0364,0.66049,0.97105,5,51
2,64,0.62416,1.0063,0.65902,0.99608,5,51
